brand,car_name,variant,price,Engine Type,Displacement,Max Power,Max Torque,No. of Cylinders,Valves Per Cylinder,Transmission Type,Gearbox,Drive Type,Fuel Type,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Turning Radius,Front Brake Type,Rear Brake Type,Length,Width,Height,Boot Space,Seating Capacity,Ground Clearance Unladen,Wheel Base,Kerb Weight,Gross Weight,No. of Doors,Power Steering,Air Conditioner,Heater,Adjustable Steering,Height Adjustable Driver Seat,Automatic Climate Control,Accessory Power Outlet,Trunk Light,Vanity Mirror,Rear Reading Lamp,Rear Seat Headrest,Adjustable Headrest,Rear Seat Centre Arm Rest,Rear AC Vents,Cruise Control,Parking Sensors,Real-Time Vehicle Tracking,KeyLess Entry,Engine Start/Stop Button,Voice Commands,USB Charger,Hands-Free Tailgate,Gear Shift Indicator,Luggage Hook & Net,Idle Start-Stop System,Follow Me Home Headlamps,Additional Features,Power Windows,Cup Holders,Tachometer,Leather Wrapped Steering Wheel,Glove Box,Adjustable Headlamps,Rear Window Defogger,Wheel Covers,Alloy Wheels,Outside Rear View Mirror Turn Indicators,Integrated Antenna,Projector Headlamps,Automatic Headlamps,Fog Lights,Antenna,Sunroof,Boot Opening,Outside Rear View Mirror (ORVM),Tyre Size,Tyre Type,Wheel Size,LED DRLs,LED Headlamps,LED Fog Lamps,Anti-lock Braking System (ABS),Central Locking,No. of Airbags,Driver Airbag,Passenger Airbag,Side Airbag,Side Airbag-Rear,Day & Night Rear View Mirror,Curtain Airbag,Electronic Brakeforce Distribution (EBD),Seat Belt Warning,Tyre Pressure Monitoring System (TPMS),Engine Immobilizer,Electronic Stability Control (ESC),Rear Camera,Anti-Theft Device,Anti-Pinch Power Windows,Speed Alert,Speed Sensing Auto Door Lock,ISOFIX Child Seat Mounts,Pretensioners & Force Limiter Seatbelts,Hill Assist,Impact Sensing Auto Door Unlock,360 View Camera,Global NCAP Safety Rating,Global NCAP Child Safety Rating,Radio,Wireless Phone Charging,Bluetooth Connectivity,Touchscreen,Touchscreen Size,Android Auto,Apple CarPlay,Usb Ports,Speakers,Driver Attention Warning,Live Location,Over the Air (OTA) Updates,Google / Alexa Connectivity,Over Speeding Alert,Tow Away Alert,Smartwatch App,Valet Mode,Remote Door Lock/Unlock,Geo-fence Alert,No. of Speakers,Secondary Fuel Type,Secondary Fuel Tank Capacity,Alloy Wheel Size Front,Alloy Wheel Size Rear,Tweeters,Braking (100-0kmph),0-100Kmph (Tested),Quarter Mile (Tested),Braking (80-0 kmph),Remote Climate Control (A/C),Low Fuel Warning Light,Height Adjustable Front Seat Belts,Lumbar Support,Foldable Rear Seat,Smart Access Card Entry,Paddle Shifters,Central Console Armrest,Electronic Multi-Tripmeter,Fabric Upholstery,Digital Clock,Outside Temperature Display,Dual Tone Dashboard,Fog Lights - Front,Rear Window Wiper,Rear Window Washer,Power Antenna,Chrome Grille,Chrome Garnish,Halogen Headlamps,LED Taillights,Brake Assist,Power Door Locks,Child Safety Locks,Anti-Theft Alarm,Passenger Side Rear View Mirror,Rear Seat Belts,Door Ajar Warning,Adjustable Seats,Crash Sensor,EBD,Integrated 2DIN Audio,USB & Auxiliary input,Connectivity,Digital Odometer,Digital Cluster,Upholstery,Remote Immobiliser,E-Call & I-Call,Remote AC On/Off,SOS / Emergency Assistance,Turbo Charger,Rear Spoiler,Sun Roof,Digital Cluster Size,Reported Boot Space,Blind Spot Camera,Top Speed,Heads-Up Display (HUD),Forward Collision Warning,Automatic Emergency Braking,Oncoming Lane Mitigation,Speed Assist System,Traffic Sign Recognition,Blind Spot Collision Avoidance Assist,Lane Departure Warning,Lane Keep Assist,Lane Departure Prevention Assist,Road Departure Mitigation System,Adaptive Cruise Control,Leading Vehicle Departure Alert,Adaptive High Beam Assist,Rear Cross Traffic Alert,Rear Cross Traffic Collision-Avoidance Assist,Unauthorised Vehicle entry,Front Tread,Acceleration,0-100kmph,Braking (60-0 kmph),Valve Configuration,City driveability (20-80kmph),Cooled Glovebox,Glove Box light,Roof Rails,Inbuilt Assistant,Navigation with Live Traffic,Send POI to Vehicle From App,In Car Remote Control App,Steering Gear Type,Ventilated Seats,Puddle Lamps,Hill Descent Control,Electric Adjustable Seats,Active noise cancellation,Rear Curtain,Battery Saver,Rear Window Sunblind,Rear Windscreen Sunblind,Leather wrap gear-shift selector,Cigarette Lighter,Headlamp Washers,Rain Sensing Wiper,Roof Carrier,Side Stepper,Smoke Headlamps,Heated Outside Rear View Mirror,Knee Airbags,Blind Spot Monitor,Autonomous Parking,PUC Expiry,Insurance Expiry,E-Manual,Digital Car Key,Live Weather,Remote Vehicle Ignition Start/Stop,Remote Boot Open,Rear Tread,Air Quality Control,Tailgate Ajar Warning,Fuel Supply System,Approach Angle,Break-over Angle,Departure Angle,Motor Type,Battery Type,Drive Modes,Drive Mode Types,Tinted Glass,Subwoofer,Remote Vehicle Status Check,SOS Button,Remote Trunk Opener,Remote Fuel Lid Opener,Trunk Opener,Centrally Mounted Fuel Tank,Engine Check Warning,Voice assisted sunroof,Audio System Remote Control,Compass,Cornering Foglamps,Traction Control,RSA,Boot Space Rear Seat Folding,Lane Change Indicator,Wi-Fi Connectivity,Inbuilt Apps,Shock Absorbers Type,Folding Table in The Rear,Convertible Top,Engine Start Alarm,Save Route/Place,Cornering Headlamps,Xenon Headlamps,Battery Capacity,Motor Power,Range,Charging Time (A.C),Charging Time (D.C),Regenerative Braking,Regenerative Braking Levels,Charging Port,Charging Options,Charger Type,Charging Time (15 A Plug Point),Charging Time (7.2 kW AC Fast Charger),Acceleration 0-100kmph,Charging Time,Fast Charging,Vechicle to Vehicle Charging,Vehicle to Load Charging,Acoustic Vehicle Alert System,Hinglish Voice Commands,Inbuilt APPs,Range - Tested,Acceleration 0-60kmph,Ground Clearance (Laden),Crash Notification,Charging Time (50 kW DC Fast Charger),Battery Warranty,Ambient  Light Colour (numbers),Rear Entertainment System,Rear Touchscreen,Rear Touch Screen size,Heated Seats,Leather Seats,Driving Experience Control Eco,Lighting,Bharat NCAP Safety Rating,Emission Control System,Bharat NCAP Child Safety Rating,MirrorLink,Wireless Charging,Fog Lights - Rear,Navigation System,Dual Tone Body Colour,Internal Storage,Running Cost,Heated Wing Mirror,Power Boot,Find My Car location,Smart Key Band,Hybrid Type,Super Charge,Drag Coefficient,Petrol Mileage WLTP,Side Impact Beams,Front Impact Beams,Vehicle Stability Control System,Clutch Lock,4th Gear (40-100kmph),Towing Capacity,Diesel Mileage WLTP,Voice Controlled Ambient Lighting,Mileage,Highway Mileage,Fuel Tank Capacity,Inbuilt_Apps
maruti,dzire,LXI,7.65 Lakh,Z12E,1197 cc,80bhp@5700rpm,111.7Nm@4300rpm,3.0,4.0,Manual,5-Speed,Front-Wheel Drive (FWD),Petrol,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt Steering,4.8m,Disc,Drum,3995 mm,1735 mm,1525 mm,382 Litres,5.0,163 mm,2450 mm,920-960 kg,1375 kg,4.0,True,True,True,Height only,FALSE,False,True,False,False,True,Integrated,True,False,False,False,Rear,False,True,False,False,FALSE,False,True,True,True,False,"LED High Mount Stop Lamp,3D Trinity LED Rear Lamps Signature,Aero Boot Lip Spoiler,Belt Line Garnish Black",Front & Rear,Front Only,True,FALSE,TRUE,TRUE,TRUE,False,False,FALSE,True,True,False,FALSE,Shark Fin,FALSE,Electronic,Manual,165/80 R14,Tyre Type,14 Inch,False,False,False,True,True,6.0,True,TRUE,True,False,FALSE,TRUE,True,True,FALSE,True,True,FALSE,False,Driver's Window,True,True,True,Driver and Passenger,True,True,False,5 Star,4 Star,False,False,False,FALSE,unknown,False,False,FALSE,FALSE,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.79 kmpl,,37 Litres,nan
maruti,dzire,VXI,8.75 Lakh,Z12E,1197 cc,80bhp@5700rpm,111.7Nm@4300rpm,3.0,4.0,Manual,5-Speed,Front-Wheel Drive (FWD),Petrol,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt Steering,4.8m,Disc,Drum,3995 mm,1735 mm,1525 mm,382 Litres,5.0,163 mm,2450 mm,920-960 kg,1375 kg,4.0,True,True,True,Height only,TRUE,False,True,True,True,True,Adjustable,True,True,True,False,Rear,False,True,False,True,Front & Rear,False,True,True,True,False,Remote Control App for Infotainment,Front & Rear,Front & Rear,True,FALSE,TRUE,TRUE,TRUE,True,False,TRUE,True,True,False,FALSE,Shark Fin,FALSE,Electronic,Powered,165/80 R14,Tyre Type,14 Inch,False,False,False,True,True,6.0,True,TRUE,True,False,TRUE,TRUE,True,True,FALSE,True,True,FALSE,False,Driver's Window,True,True,True,Driver and Passenger,True,True,False,5 Star,4 Star,True,False,True,TRUE,7 inch,True,True,TRUE,Front & Rear,False,False,True,False,False,False,False,False,False,False,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.79 kmpl,,37 Litres,nan
maruti,dzire,VXI AMT,9.24 Lakh,Z12E,1197 cc,80bhp@5700rpm,111.7Nm@4300rpm,3.0,4.0,Automatic,5-Speed,Front-Wheel Drive (FWD),Petrol,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt Steering,4.8m,Disc,Drum,3995 mm,1735 mm,1525 mm,382 Litres,5.0,163 mm,2450 mm,920-960 kg,1375 kg,4.0,True,True,True,Height only,TRUE,False,True,True,True,True,Adjustable,True,True,True,False,Rear,False,True,False,True,Front & Rear,False,False,True,True,False,Remote Control App for Infotainment,Front & Rear,Front & Rear,True,FALSE,TRUE,TRUE,TRUE,True,False,TRUE,True,True,False,FALSE,Shark Fin,FALSE,Electronic,Powered,165/80 R14,Tyre Type,14 Inch,False,False,False,True,True,6.0,True,TRUE,True,False,TRUE,TRUE,True,True,FALSE,True,True,FALSE,False,Driver's Window,True,True,True,Driver and Passenger,True,True,False,5 Star,4 Star,True,False,True,TRUE,7 inch,True,True,TRUE,Front & Rear,False,False,True,False,False,False,False,False,False,False,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.71 kmpl,,37 Litres,nan
maruti,dzire,VXI CNG,9.8 Lakh,Z12E,1197 cc,69bhp@5700rpm,101.8Nm@2900rpm,3.0,4.0,Manual,5-Speed,Front-Wheel Drive (FWD),CNG,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt Steering,4.8m,Disc,Drum,3995 mm,1735 mm,1525 mm,,5.0,163 mm,2450 mm,1020-1025 kg,1435 kg,4.0,True,True,True,Height only,TRUE,False,True,True,True,True,Adjustable,True,True,True,False,Rear,False,True,False,True,Front & Rear,False,True,True,True,False,Remote Control App for Infotainment,Front & Rear,Front & Rear,True,FALSE,TRUE,TRUE,TRUE,True,False,TRUE,True,True,False,FALSE,Shark Fin,FALSE,Electronic,Powered,165/80 R14,Tyre Type,14 Inch,False,False,False,True,True,6.0,True,TRUE,True,False,TRUE,TRUE,True,True,FALSE,True,True,FALSE,False,Driver's Window,True,True,True,Driver and Passenger,True,True,False,5 Star,4 Star,True,False,True,TRUE,7 inch,True,True,TRUE,Front & Rear,False,False,True,False,False,False,False,False,False,False,4.0,Petrol,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.73 km/kg,,55 Litres,nan
maruti,dzire,ZXI,9.96 Lakh,Z12E,1197 cc,80bhp@5700rpm,111.7Nm@4300rpm,3.0,4.0,Manual,5-Speed,Front-Wheel Drive (FWD),Petrol,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt Steering,4.8m,Disc,Drum,3995 mm,1735 mm,1525 mm,382 Litres,5.0,163 mm,2450 mm,920-960 kg,1375 kg,4.0,True,True,True,Height only,TRUE,True,True,True,True,True,Adjustable,True,True,True,False,Rear,True,True,True,True,Front & Rear,False,True,True,True,True,Remote Control App for Infotainment,Front & Rear,Front & Rear,True,FALSE,TRUE,TRUE,TRUE,False,True,TRUE,True,False,True,FALSE,Shark Fin,FALSE,Electronic,Powered,185/65 R15,Tyre Type,,True,True,False,True,True,6.0,True,TRUE,True,False,TRUE,TRUE,True,True,TRUE,True,True,With Guidedlines,False,Driver's Window,True,True,True,Driver and Passenger,True,True,False,5 Star,4 Star,True,True,True,TRUE,7 inch,True,True,TRUE,Front & Rear,True,True,True,True,True,True,True,True,True,True,4.0,,,15 Inch,15 Inch,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.79 kmpl,,37 Litres,nan
maruti,dzire,ZXI AMT,10.46 Lakh,Z12E,1197 cc,80bhp@5700rpm,111.7Nm@4300rpm,3.0,4.0,Automatic,5-Speed-AMT,Front-Wheel Drive (FWD),Petrol,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt Steering,4.8m,Disc,Drum,3995 mm,1735 mm,1525 mm,382 Litres,5.0,163 mm,2450 mm,920-960 kg,1375 kg,4.0,True,True,True,Height only,TRUE,True,True,True,True,True,Adjustable,True,True,True,False,Rear,True,True,True,True,Front & Rear,False,False,True,True,True,Remote Control App for Infotainment,Front & Rear,Front & Rear,True,FALSE,TRUE,TRUE,TRUE,False,True,TRUE,True,False,True,FALSE,Shark Fin,FALSE,Electronic,Powered,185/65 R15,Tyre Type,,True,True,False,True,True,6.0,True,TRUE,True,False,TRUE,TRUE,True,True,TRUE,True,True,With Guidedlines,False,Driver's Window,True,True,True,Driver and Passenger,True,True,False,5 Star,4 Star,True,True,True,TRUE,7 inch,True,True,TRUE,Front & Rear,True,True,True,True,True,True,True,True,True,True,4.0,,,15 Inch,15 Inch,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.71 kmpl,,37 Litres,nan
maruti,dzire,ZXI Plus,10.83 Lakh,Z12E,1197 cc,80bhp@5700rpm,111.7Nm@4300rpm,3.0,4.0,Manual,5-Speed,Front-Wheel Drive (FWD),Petrol,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt Steering,4.8m,Disc,Drum,3995 mm,1735 mm,1525 mm,382 Litres,5.0,163 mm,2450 mm,920-960 kg,1375 kg,4.0,True,True,True,Height only,TRUE,True,True,True,True,True,Adjustable,True,True,True,True,Rear,True,True,True,True,Front & Rear,False,True,True,True,True,"Surround Sense Powered by Arkamys,Remote Control App for Infotainment",Front & Rear,Front & Rear,True,TRUE,TRUE,TRUE,TRUE,False,True,TRUE,True,False,True,Front,Shark Fin,Single Pane,Electronic,Powered & Folding,185/65 R15,Tyre Type,,True,True,True,True,True,6.0,True,TRUE,True,False,TRUE,TRUE,True,True,TRUE,True,True,With Guidedlines,True,,True,True,True,Driver and Passenger,True,True,True,5 Star,4 Star,True,True,True,TRUE,9 inch,True,True,TRUE,Front & Rear,True,True,True,True,True,True,True,True,True,True,4.0,,,15 Inch,15 Inch,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.79 kmpl,,37 Litres,nan
maruti,dzire,ZXI CNG,11.0 Lakh,Z12E,1197 cc,69bhp@5700rpm,101.8Nm@2900rpm,3.0,4.0,Manual,5-Speed,Front-Wheel Drive (FWD),CNG,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt Steering,4.8m,Disc,Drum,3995 mm,1735 mm,1525 mm,,5.0,163 mm,2450 mm,1020-1025 kg,1435 kg,4.0,True,True,True,Height only,TRUE,True,True,True,True,True,Adjustable,True,True,True,False,Rear,True,True,True,True,Front & Rear,False,True,True,True,True,Remote Control App for Infotainment,Front & Rear,Front & Rear,True,FALSE,TRUE,TRUE,TRUE,False,True,TRUE,True,False,True,FALSE,Shark Fin,,Electronic,Powered,185/65 R15,Tyre Type,,True,True,False,True,True,6.0,True,TRUE,True,False,TRUE,TRUE,True,True,TRUE,True,True,With Guidedlines,True,Driver's Window,True,True,True,Driver and Passenger,True,True,False,5 Star,4 Star,True,True,True,TRUE,7 inch,True,True,TRUE,Front & Rear,True,True,True,True,True,True,True,True,True,True,4.0,Petrol,37.0,15 Inch,15 Inch,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.73 km/kg,,55 Litres,nan
maruti,dzire,ZXI Plus AMT,11.74 Lakh,Z12E,1197 cc,80bhp@5700rpm,111.7Nm@4300rpm,3.0,4.0,Automatic,5-Speed-AMT,Front-Wheel Drive (FWD),Petrol,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt Steering,4.8m,Disc,Drum,3995 mm,1735 mm,1525 mm,382 Litres,5.0,163 mm,2450 mm,920-960 kg,1375 kg,4.0,True,True,True,Height only,TRUE,True,True,True,True,True,Adjustable,True,True,True,True,Rear,True,True,True,True,Front & Rear,False,False,True,True,True,"Surround Sense Powered by Arkamys,Remote Control App for Infotainment",Front & Rear,Front & Rear,True,TRUE,TRUE,TRUE,TRUE,False,True,TRUE,True,False,True,Front,Shark Fin,Single Pane,Electronic,Powered & Folding,185/65 R15,Tyre Type,,True,True,True,True,True,6.0,True,TRUE,True,False,TRUE,TRUE,True,True,TRUE,True,True,With Guidedlines,True,Driver's Window,True,True,True,Driver and Passenger,True,True,True,5 Star,4 Star,True,True,True,TRUE,9 inch,True,True,TRUE,Front & Rear,True,True,True,True,True,True,True,True,True,True,4.0,,,15 Inch,15 Inch,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.71 kmpl,,37 Litres,nan
maruti,Ertiga,Lxi,9.69 Lakh,K15C Smart Hybrid,1462 cc,101.65bhp@6000rpm,136.8Nm@4400rpm,4.0,4.0,Manual,5-Speed,Two-Wheel Drive (2WD),Petrol,BS VI,Mac Pherson Strut & Coil Spring,Torsion Beam & Coil Spring,,Tilt Steering,5.2m,Disc,Drum,4395 mm,1735 mm,1690 mm,,7.0,,2740 mm,1150-1205 kg,1760 kg,5.0,True,True,True,TRUE,FALSE,False,True,,False,True,TRUE,True,False,False,False,Rear,,False,False,,,,True,,,False,"3D Origami Style LED Tail Lamps,Painted Dynamic Winged Front Grille,Floating Type Roof Design in Rear",,,True,FALSE,TRUE,TRUE,FALSE,True,False,FALSE,,True,False,,,,,,185/65 R15,Tubeless Radial,15 Inch,,,,True,True,2.0,True,TRUE,False,,FALSE,,,True,,True,True,FALSE,,FALSE,True,True,True,TRUE,True,,,,,False,,False,FALSE,,False,False,,,,,,,,,,,,,,,,,,,45.77 s,13.73s,19.24s @ 118.43kmph,27.47m,False,False,False,True,50:50 Split,FALSE,False,FALSE,True,TRUE,True,False,True,False,FALSE,FALSE,True,False,TRUE,True,True,True,True,TRUE,False,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.51 kmpl,,45 Litres,nan
